"SampleID","Y"
"Sample 1",1
"Sample 2",1
"Sample 3",1
"Sample 4",1
"Sample 5",1
"Sample 6",1
"Sample 7",1
"Sample 8",1
"Sample 9",1
"Sample 10",1
"Sample 11",1
"Sample 12",1
"Sample 13",1
"Sample 14",1
"Sample 15",1
"Sample 16",1
"Sample 17",1
"Sample 18",1
"Sample 19",1
"Sample 20",1
"Sample 21",1
"Sample 22",1
"Sample 23",1
"Sample 24",1
"Sample 25",1
"Sample 26",1
"Sample 27",1
"Sample 28",1
"Sample 29",1
"Sample 30",1
"Sample 31",1
"Sample 32",1
"Sample 33",1
"Sample 34",1
"Sample 35",1
"Sample 36",1
"Sample 37",1
"Sample 38",1
"Sample 39",1
"Sample 40",1
"Sample 41",1
"Sample 42",1
"Sample 43",1
"Sample 44",1
"Sample 45",1
"Sample 46",1
"Sample 47",1
"Sample 48",1
"Sample 49",1
"Sample 50",1
"Sample 51",1
"Sample 52",1
"Sample 53",1
"Sample 54",1
"Sample 55",1
"Sample 56",1
"Sample 57",1
"Sample 58",1
"Sample 59",1
"Sample 60",1
"Sample 61",1
"Sample 62",1
"Sample 63",1
"Sample 64",1
"Sample 65",1
"Sample 66",1
"Sample 67",1
"Sample 68",1
"Sample 69",1
"Sample 70",1
"Sample 71",1
"Sample 72",1
"Sample 73",1
"Sample 74",1
"Sample 75",1
"Sample 76",1
"Sample 77",1
"Sample 78",1
"Sample 79",1
"Sample 80",1
"Sample 81",1
"Sample 82",1
"Sample 83",1
"Sample 84",1
"Sample 85",1
"Sample 86",1
"Sample 87",1
"Sample 88",1
"Sample 89",1
"Sample 90",1
"Sample 91",1
"Sample 92",1
"Sample 93",1
"Sample 94",1
"Sample 95",1
"Sample 96",1
"Sample 97",1
"Sample 98",1
"Sample 99",1
"Sample 100",1
"Sample 101",0
"Sample 102",0
"Sample 103",0
"Sample 104",0
"Sample 105",0
"Sample 106",0
"Sample 107",0
"Sample 108",0
"Sample 109",0
"Sample 110",0
"Sample 111",0
"Sample 112",0
"Sample 113",0
"Sample 114",0
"Sample 115",0
"Sample 116",0
"Sample 117",0
"Sample 118",0
"Sample 119",0
"Sample 120",0
"Sample 121",0
"Sample 122",0
"Sample 123",0
"Sample 124",0
"Sample 125",0
"Sample 126",0
"Sample 127",0
"Sample 128",0
"Sample 129",0
"Sample 130",0
"Sample 131",0
"Sample 132",0
"Sample 133",0
"Sample 134",0
"Sample 135",0
"Sample 136",0
"Sample 137",0
"Sample 138",0
"Sample 139",0
"Sample 140",0
"Sample 141",0
"Sample 142",0
"Sample 143",0
"Sample 144",0
"Sample 145",0
"Sample 146",0
"Sample 147",0
"Sample 148",0
"Sample 149",0
"Sample 150",0
"Sample 151",0
"Sample 152",0
"Sample 153",0
"Sample 154",0
"Sample 155",0
"Sample 156",0
"Sample 157",0
"Sample 158",0
"Sample 159",0
"Sample 160",0
"Sample 161",0
"Sample 162",0
"Sample 163",0
"Sample 164",0
"Sample 165",0
"Sample 166",0
"Sample 167",0
"Sample 168",0
"Sample 169",0
"Sample 170",0
"Sample 171",0
"Sample 172",0
"Sample 173",0
"Sample 174",0
"Sample 175",0
"Sample 176",0
"Sample 177",0
"Sample 178",0
"Sample 179",0
"Sample 180",0
"Sample 181",0
"Sample 182",0
"Sample 183",0
"Sample 184",0
"Sample 185",0
"Sample 186",0
"Sample 187",0
"Sample 188",0
"Sample 189",0
"Sample 190",0
"Sample 191",0
"Sample 192",0
"Sample 193",0
"Sample 194",0
"Sample 195",0
"Sample 196",0
"Sample 197",0
"Sample 198",0
"Sample 199",0
"Sample 200",0
